Block Group,Stations
110010083021,D St & Maryland Ave NE
110010084021,11th & H St NE
110010084022,8th & F St NE
110010084101,13th & H St NE
110010087011,Eckington Pl & Q St NE
110010087012,Rhode Island Ave & V St NE
110010087021,4th & W St NE
110010087021,4th St & Rhode Island Ave NE
110010088023,Neal St & Trinidad Ave NE
110010088031,Union Market/6th St & Neal Pl NE
110010088031,Gallaudet / 8th St & Florida Ave NE
110010089042,Bladensburg Rd & Benning Rd NE
110010091022,Rhode Island Ave Metro
110010092011,Hamlin & 7th St NE
110010093012,12th & Newton St NE
110010093012,12th & Irving St NE
110010093012,10th & Monroe St NE
110010095013,John McCormack Dr & Michigan Ave NE
110010095081,Fort Totten Metro
110010096032,Benning Branch Library
110010096042,Anacostia Ave & Benning Rd NE / River Terrace
110010099012,Randle Circle & Minnesota Ave SE
110010099012,Branch & Pennsylvania Ave SE
110010101001,13th St & New York Ave NW
110010101001,11th & K St NW
110010101001,12th & L St NW
110010101001,McPherson Square / 14th & H St NW
110010101001,14th St & New York Ave NW
110010101001,New York Ave & 15th St NW
110010101001,15th & K St NW
110010101002,15th & L St NW
110010102001,Maryland & Independence Ave SW
110010102002,4th & M St SW
110010102002,L'Enfant Plaza / 7th & C St SW
110010102002,7th & Water St SW / SW Waterfront
110010102002,USDA / 12th & Independence Ave SW
110010102002,Independence Ave & L'Enfant Plaza SW/DOE
110010104001,Alabama & MLK Ave SE
110010105002,4th & E St SW
110010106002,Columbus Circle / Union Station
110010106002,3rd & H St NE
110010106002,M St & Delaware Ave NE
110010106002,North Capitol St & G Pl NE
110010106002,1st & M St NE
110010107001,19th St & Pennsylvania Ave NW
110010107001,21st & M St NW
110010107001,17th & K St NW
110010107001,18th & M St NW
110010107001,19th & L St NW
110010107001,17th & K St NW / Farragut Square
110010107001,18th St & Pennsylvania Ave NW
110010107001,20th & L St NW
110010107001,21st St & Pennsylvania Ave NW
110010107001,19th & K St NW
110010107002,17th & Rhode Island Ave NW
110010108001,22nd & I St NW / Foggy Bottom
110010108001,21st & I St NW
110010108002,20th St & Virginia Ave NW
110010108002,17th & G St NW
110010108002,20th & E St NW
110010108002,19th & E Street NW
110010108002,19th & G St NW
110010108003,23rd & E St NW
110010110003,6th & Water St SW / SW Waterfront
110010111002,18th St & Rhode Island Ave NE
240317007042,Shady Grove Metro West
240317007112,Needwood Rd & Eagles Head Ct
240317007181,King Farm Blvd & Pleasant Dr
240317007182,King Farm Blvd & Piccard Dr
240317008173,Shady Grove Hospital
240317008173,Broschart & Blackwell Rd
240317008173,Medical Center Dr & Key West Ave
240317009012,Rockville Metro West
240317009012,E Montgomery Ave & Maryland Ave
240317009012,Monroe St & Monroe Pl
240317009021,Frederick Ave & Horners Ln
240317009022,Rockville Metro East
240317009031,Taft St & E Gude Dr
240317010011,Fleet St & Ritchie Pkwy
240317010043,Montgomery College/W Campus Dr & Mannakee St
240317010071,Fallsgrove Dr & W Montgomery Ave
240317010071,Fallsgrove Blvd & Fallsgrove Dr
240317012111,Crabbs Branch Way & Redland Rd
240317012111,Crabbs Branch Way & Calhoun Pl
240317012113,Piccard & W Gude Dr
240317012212,Traville Gateway Dr & Gudelsky Dr
240317017011,Carroll & Westmoreland Ave
240317017012,Carroll & Ethan Allen Ave
240317017021,Washington Adventist U / Flower Ave & Division St
240317018001,Maple & Ritchie Ave
240317018002,Philadelphia & Maple Ave
240317023012,Garland Ave & Walden Rd
240317024023,Fenton St & Gist Ave
240317025001,Fenton St & Ellsworth Dr
240317025001,Fenton St & New York Ave
240317025001,Georgia Ave & Spring St
240317025001,Veterans Pl & Pershing Dr
240317025004,Ripley & Bonifant St
240317025004,13th St & Eastern Ave
240317025004,Silver Spring Metro/Colesville Rd & Wayne Ave
240317026011,East West Hwy & Blair Mill Rd
240317028002,Spring St & Second Ave
240317046001,Old Georgetown Rd & Southwick St
240317048032,Offutt Ln & Chevy Chase Dr
240317048041,Montgomery & East Ln
240317048041,Bethesda Metro
240317048041,Bethesda Ave & Arlington Rd
240317048041,Montgomery Ave & Waverly St
240317048061,Battery Ln & Trolley Trail
240317048061,Norfolk & Rugby Ave
240317048062,Cordell & Norfolk Ave
240317048062,Norfolk Ave & Fairmont St
240317054001,47th & Elm St
240317055023,River Rd & Landy Ln
240317056021,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir
240317056022,Friendship Blvd & Willard Ave
510131006001,N Nelson St & Lee Hwy
510131014011,Glebe Rd & 11th St N
510131014011,George Mason Dr & Wilson Blvd
510131014022,Utah St & 11th St N
510131014031,Fairfax Dr & Glebe Rd
510131014031,Ballston Metro / N Stuart & 9th St N
510131014034,N Randolph St & Fairfax Dr
510131014034,N Quincy St & Wilson Blvd
510131014041,Virginia Square Metro / N Monroe St & 9th St N
510131014041,Wilson Blvd & N Oakland St
510131014041,Central Library / N Quincy St & 10th St N
510131015001,N Adams St & Lee Hwy
510131015001,N Veitch  & 20th St N
510131015002,Wilson Blvd & Franklin Rd
510131015003,Clarendon Metro / Wilson Blvd & N Highland St
510131015003,Wilson Blvd & N Edgewood St
510131015003,Fairfax Dr & Wilson Blvd
510131015004,Fairfax Dr & Kenmore St
510131015005,Lee Hwy & N Kirkwood Rd
510131015006,Lee Hwy & N Cleveland St
510131016011,Lee Hwy & N Scott St
510131016012,21st St N & N Pierce St
510131016022,Wilson Blvd & N Uhle St
510131016022,N Veitch & Key Blvd
510131016032,Key Blvd & N Quinn St
510131016033,Lynn & 19th St North
510131017014,15th & N Scott St
510131017022,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
510131017023,Clarendon Blvd & Pierce St
510131017023,N Rhodes & 16th St N
510131017031,Arlington Blvd & N Queen St
510131018011,Clarendon Blvd & N Fillmore St
510131018011,Washington Blvd & 10th St N
510131018021,Court House Metro / 15th & N Uhle St
510131018024,Barton St & 10th St N
510131018031,Washington Blvd & 7th St N
510131018032,N Pershing Dr & Wayne St
510131018034,Arlington Blvd & Fillmore St
510131020021,N Quincy St & Glebe Rd
510131020032,Pershing & N George Mason Dr
510131022003,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center
510131023012,Arlington Blvd & S George Mason Dr/NFATC
510131023024,S Oakland St & Columbia Pike
510131024001,Washington Blvd & Walter Reed Dr
510131024004,TJ Cmty Ctr / 2nd St & S Old Glebe Rd
510131025001,Rolfe St & 9th St S
510131025001,Columbia Pike & S Orme St
510131025003,S Walter Reed Dr & 8th St S
510131027012,S George Mason Dr & 13th St S
510131028015,S George Mason Dr & Four Mile Run
510131029021,S Arlington Mill Dr & Campbell Ave
510131029021,Shirlington Transit Center / S Quincy & Randolph St
510131029022,31st & Woodrow St S
510131030001,S Abingdon St & 36th St S
510131030003,S Stafford & 34th St S
510131031002,S Four Mile Run Dr & S Shirlington Rd
510131031002,S Kenmore & 24th St S
510131032001,Columbia Pike & S Courthouse Rd
510131032004,Walter Reed Community Center / Walter Reed Dr & 16th St S
510131032004,Columbia Pike & S Walter Reed Dr
510131034021,Crystal City Metro / 18th & Bell St
510131034021,15th & Crystal Dr
510131034022,20th & Bell St
510131034023,27th & Crystal Dr
510131034023,S Glebe & Potomac Ave
510131034024,26th & S Clark St
510131034024,23rd & Crystal Dr
510131034025,Long Bridge Park/Long Bridge Dr & 6th St S
510131034025,26th & Crystal Dr
510131034025,20th & Crystal Dr
510131034025,6th & S Ball St
510131035011,Army Navy Dr & S Nash St
510131035021,S Joyce & Army Navy Dr
510131035021,15th & Hayes St
510131035021,Pentagon City Metro / 12th & S Hayes St
510131035022,Aurora Hills Community Ctr/18th & Hayes St
510131035022,S Joyce & 16th St S
510131035031,12th & Army Navy Dr
510131036021,18th & Eads St.
510131036022,23rd & Eads St
510131036022,22nd & Eads St
510131038002,S Troy St & 26th St S
510131038002,28th St S & S Meade St
510139801001,Iwo Jima Memorial/N Meade & 14th St N
510139802001,Potomac Ave & 35th St S
515102007021,Duke St & John Carlyle St
515102007021,Ballenger Ave & Dulaney St
515102007021,Eisenhower Ave & Mill Race Ln
515102012042,Mount Vernon Ave & Kennedy St
515102013002,Mount Vernon Ave & E Del Ray Ave
515102013003,Monroe Ave & Leslie Ave
515102014003,Mount Vernon Ave & E Nelson Ave
515102016002,Braddock Rd Metro
515102016002,Henry St & Pendleton St
515102018012,Potomac Greens Dr & Slaters Ln
515102018014,Saint Asaph St & Pendleton  St
515102019001,Market Square / King St & Royal St
515102019001,King St & Patrick St
515102019001,Prince St & Union St
515102019002,Commerce St & Fayette St
515102019002,King St Metro
